id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
30309,17425,Necronomicon: The Dawning of Darkness,"Enter the world of Necronomicon- where quiet scholar William H. Stanton is suddenly thrust into the dark and enigmatic world of the occult.

The year is 1927. Stanton is in the drawing room of his Providence, Rhode Island home when his childhood friend, Edgar, appears at his door.

Edgar, seems distraught and delirious and gives Stanton a metallic pyramid, telling him not to give it to anyone- especially himself.

Still reeling from Edgar’s appearance, Stanton is visited by a doctor who tells him that Edgar has lost his mind and must be institutionalized. William knows there is more to the story and decides to find Edgar, but on his way discovers a horrifying secret that threatens all of mankind.",2000-10-23 00:00:00.000,2,NULL,NULL,NULL,40.0000,4
30448,78295,I.Q Remix+: Intelligent Qube,NULL,2000-03-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
30905,10608,Carmageddon 64,"In 2026, solar flares contaminated the Earth's atmosphere, and anyone exposed to the toxic fumes for too long became a zombie. Survivors took refuge within hastily constructed Climate Emulation Centers, and although they were safe, some found it dull. These thrill-seekers took to racing around the outside worlds abandoned race circuits, and didn't think twice about running down any zombies that wandered onto the race route. The authorities realised that the racers had stumbled upon a fun solution to the zombie problem, so promised the drivers a life in the sun on an off-world colony; the kind that even millionaire playboys would struggle to attain. With a marvellous prize up for grabs, and no one marshalling the races, the events rapidly took a violent turn, and everyone competing had to remember: ""Drive to Survive.""",2000-07-25 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
31068,91371,Aces High,NULL,2000-05-08 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
31095,26135,Cool Boarders 2001,NULL,2000-10-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
31132,22899,Hataraku Chocobo,The player must raise a Chocobo while completing various tasks to earn items.,2000-09-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
31158,115858,Reikoku: Ikeda Kizoku Shinrei Kenkyuujo,NULL,2000-10-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
31246,79697,Dance Dance Revolution CLUB VERSION Dreamcast Edition,NULL,2000-02-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
31415,3281,Star Trek: Deep Space Nine - The Fallen,NULL,2000-11-23 00:00:00.000,NULL,NULL,90.0000,1,NULL,NULL
31476,43866,Bishi Bachi Special 3,NULL,2000-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
31544,49985,Racin' Ratz,NULL,2000-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
31726,71066,Hot Wheels Stunt Track Driver 2: GET 'N DIRTY,NULL,2000-08-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
31964,51281,Disney's Magic Artist Studio,NULL,2000-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
32091,138825,Kokohore! Pukka: Dig-a-Dig Pukka,NULL,2000-12-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
32229,15466,Ikachan,NULL,2000-06-23 00:00:00.000,NULL,NULL,NULL,NULL,78.0000,2
