id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
83504,63702,Spider-Man Cartoon Maker,NULL,1995-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
91650,1376,The Amazing Spider-Man,NULL,2012-06-26 00:00:00.000,23,NULL,65.3000,11,65.5805,66
97168,136022,Marvel's Spider-Man: Special Edition,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
97665,6285,Spider-Man 2,NULL,2004-06-28 00:00:00.000,60,NULL,68.3333,12,76.6950,180
101206,134581,Marvel's Spider-Man: Miles Morales,NULL,2020-11-12 00:00:00.000,21,4,87.9000,12,82.2942,99
102484,46182,Venom/Spider-Man: Separation Anxiety,NULL,1995-12-01 00:00:00.000,1,NULL,NULL,NULL,60.0094,6
112089,11896,The Amazing Spider-Man,NULL,1990-12-31 00:00:00.000,NULL,NULL,67.5000,5,NULL,NULL
112340,4225,Ultimate Spider-Man,NULL,2005-09-19 00:00:00.000,42,NULL,73.6667,7,74.6233,115
112662,21616,Spider-man 3: Collector's Edition,NULL,2007-12-31 00:00:00.000,NULL,NULL,52.0000,1,NULL,NULL
118248,142254,Spider-Man: Shattered Dimensions,NULL,2010-09-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
